Response,TopicA,PercA,TopicB,PercB,TopicC,PercC
"after i completed the first survey pages and pages of questions and answers, i received a notification that you never received my answers, and then i never did any more.",2,0.9952495694160461,,,,
"ah, i had, um, a family member die, and i haven't been in the right frame of mind to do anything other than grieve.",0,0.9917452931404114,,,,
"ah, i just found the questions. ah, too difficult to answer too specific as far as diet. and, um, i just didn't like the questions, i guess. okay.",2,0.995586097240448,,,,
"ah, change my mind decided not to participate.",0,0.9836729168891907,,,,
"ah, the time consuming. ah, requests for daily, uh, food diary. it's too time consuming.",0,0.9908393621444702,,,,
ah.,0,0.9249118566513062,1.0,0.030870720744132996,2.0,0.044217389076948166
"as far as i know, i have completed the surveys. um, i did get a email address change about a year ago, and this is my new email address. it is jackson, my last name, jackson dot family, the number five at a t t dot net again. 30 jackson dot family and the number five.",1,0.9972565770149231,,,,
"at first it was because i was lazy, period. they sat on my countertop unopened because i knew that it would take me a little while to finish them. um, but about two weeks ago, i completed the surveys and drop them in the mail. so i know that they probably didn't meet your survey deadlines, but they should be on the way to you now.",2,0.9975194931030273,,,,
"basically, it's been a combination. some of the surveys i have not received or if something was sent online. i just haven't had the time. but, uh, i definitely do want to continue to participate. thank you.",0,0.5259711146354675,1.0,0.47054609656333923,,
because i had cancer and i didnﾒt know he wanted me to be involved in this so i didnﾒt complete it.,2,0.9912407994270325,,,,
"during that time, i lost my husband to cancer and i was trying to work. and then i retired. i sold my house and i moved. so i guess i lost interest in it and dealing with everything.",1,0.9945347309112549,,,,
"every time i've received a survey, i have submitted it and returned it.",2,0.9898085594177246,,,,
"first off, there's the time constraint. second off the fire destroyed our home and all possessions in it, including the survey form.",1,0.9930585026741028,,,,
"first they're very winepress, right? what does the second say and keep doing wrong?",0,0.9882631301879883,,,,
hackett extremely long a large package.,0,0.9836687445640564,,,,
hello.,0,0.9249059557914734,1.0,0.030873164534568787,2.0,0.04422089084982872
"hey, complete survey. then i hadn't received any more, but i understand that over the years he answered like two.",2,0.9931637644767761,,,,
"hi, this is carol. i'm sorry i completed your survey has been really sick. um, i want to know if you want me to still complete them. thanks. bye.",0,0.6799562573432922,2.0,0.3177730441093445,,
"hold on. hold on one second. i just hold on. stay with me. sir, everything is good. so, um, this is it's the last thing. just connect all the four wire. who? yellow, purple and green. so i need you to make sure. sorry. hold on a second. um, almost done. okay. good question. okay. amazon because this is a really important. this is where we get everything. okay. panels need to be perfectly aligned, and you need to trim off the edges here, but do not cut this purple. why? why? because this is kind of attached to generate taxes. okay? and don't mess with everything else on the side and make sure he's in the baby. sees me like a baby. i totally understand. okay, i'm done. okay, that's it. so no personal buyer. perfect. god. copy that. thank you, sir. every sorry, i'm bad. everybody is trying to pretend the boss, you know, like when somebody you give forward to another stupid employee, he's acting like he's a boss. like hate those seriously, but anyways, um ah, i'm sorry. what? what? what did you say? so what do you want for me? like directly from me? so are you selling me these? or like? should i purchase these? because, like, look, as of right now, i don't have a lot of money. that's my first months in america, right? so i have to make a living. so that's where i work. freaking stupid construction and trying to i don't know, pretending that i know what i'm doing. hold on. hold on one second. did he said blue or purple? yeah. i thought he said blue. so yeah. um, anyways, i have one minute. please finish with your beach. whatever you want to sell whatever you want. you want from me, just let me know. okay. go. no, no, no. i'm listening. if you find with that, i'm fine with it too, so okay, hold on. did you hear me? cause i got a little oh, my god. shit, shit, shit, shit, shit. i think i'm in trouble. shit! i knew he said purple, and i got the blue one. i think i like shit. oh, food. i think i think i i oh, my god. i made a mistake. whole fear all these periods are like floating away. holy shit. hold on, hold on. um, hold on, fats. rig mr part three",0,0.999584972858429,,,,
