Response,TopicA,PercA,TopicB,PercB,TopicC,PercC,TopicD,PercD,TopicE,PercE,TopicF,PercF,TopicG,PercG,TopicH,PercH
"45. um, if the surveys were a lot shorter and they didn't take as much time to fill out and i don't know and it just seems like it's time consuming to fill out, um, i don't know, have more incentive to fill out, and i don't know why. i don't know if it is actually helping out in the research, so i don't i don't see any results from filling out the survey.",5,0.9881176352500916,,,,,,,,,,,,,,
"a lot of times it is very involved and i don't have all the information that goes back, maybe decades in my case. and obviously we switched doctors over the years and i just don't know how to get that information to complete the survey.",0,0.824948787689209,4.0,0.1621789038181305,,,,,,,,,,,,
"actually, i think you've made it easy. i just haven't sat down and taken the time. it looks kinda long and i saved it. and now i've i've saved it too long, so i just need to get back to it.",2,0.979062020778656,,,,,,,,,,,,,,
"ah, i apologize for not, uh, filling out the forms. i've had, uh, parent, uh, care issues that have taken my time. um, they have since passed now. so, um, that's no longer an excuse. um, i am interested to help continue to help you. i'm i apologize.",1,0.3749442994594574,3.0,0.24938097596168518,5.0,0.36540499329566956,,,,,,,,,,
"ah, if it's not too late, i will try to ah, go ahead and fill out the forms. if you think that still helps. i thought it was too late to do it.",0,0.5629762411117554,1.0,0.4189738929271698,,,,,,,,,,,,
"ah, just more reminders. um, i'm interested in staying in the study. i just forget sometimes and days go by and maybe just a text reminder. email reminder, that's all. thank you.",1,0.7351747751235962,3.0,0.2459956556558609,,,,,,,,,,,,
"ah, just, uh, send me the forms. i forgot to do the other ones. one came when i was moving. it was actually lost. so and i didn't know how to get in touch with you guys to get another one, so i have a new address.",0,0.8478543758392334,1.0,0.14061875641345978,,,,,,,,,,,,
aha.,0,0.0732586458325386,1.0,0.03019040822982788,2.0,0.01585567556321621,3.0,0.024778146296739578,4.0,0.02051105536520481,5.0,0.02868104912340641,6.0,0.7686274647712708,7.0,0.03809751942753792
"at this point, i'm not interested. i'm a caregiver for my 95 year old mother, but thank you.",0,0.011945066973567009,3.0,0.9604889750480652,,,,,,,,,,,,
breese stand survey.,0,0.02970285899937153,1.0,0.012238483875989914,3.0,0.010044478811323643,5.0,0.9033382534980774,6.0,0.014489862136542797,7.0,0.015443840064108372,,,,
bye bye. i just need to possibly have more reminders.,0,0.5740148425102234,1.0,0.38437986373901367,,,,,,,,,,,,
call me and let's do it over the phone.,0,0.029692411422729492,1.0,0.012236320413649082,3.0,0.010042703710496426,5.0,0.01162457000464201,6.0,0.014487300999462605,7.0,0.9071770906448364,,,,
"can i have more time or can you send resend? the survey? um, so i can complete it. thank you.",0,0.9641063213348389,,,,,,,,,,,,,,
can you email it to me? can it be email? and i can complete it online.,0,0.022892039269208908,1.0,0.47031986713409424,6.0,0.01116759143769741,7.0,0.4675561487674713,,,,,,,,
can you email me the questionnaire?,0,0.04225829243659973,1.0,0.8633488416671753,3.0,0.014290424063801765,4.0,0.011829443275928497,5.0,0.016541363671422005,6.0,0.020614933222532272,7.0,0.0219721719622612,,
can you mail it again?,0,0.07323678582906723,1.0,0.030174866318702698,2.0,0.01584751345217228,3.0,0.024765390902757645,4.0,0.02050049602985382,5.0,0.028666285797953606,6.0,0.035725802183151245,7.0,0.771082878112793
"can you put the survey online and make it easier to fill out? um, pretty much. when i get them, i put them in a pile of paper. i forget about it. i run out of time. um, if it were an online survey, i probably would be more likely to take care of it because i'm on my computer all day long. that's it.",6,0.6544075608253479,7.0,0.3355949819087982,,,,,,,,,,,,
"can you send it to me on, uh, online so i can fill it out online? i don't even i don't remember being part of the study. i don't know what this is. i i mean, i could imagine joining up to a study, but i don't remember anything about it. um, that's the main. that's the main trouble.",7,0.9853808283805847,,,,,,,,,,,,,,
"can you send the questionnaire survey by email, please?",0,0.647063672542572,1.0,0.31133386492729187,,,,,,,,,,,,
can you send the survey again?,0,0.888196587562561,1.0,0.017411664128303528,3.0,0.014290259219706059,4.0,0.011829307302832603,5.0,0.016541173681616783,6.0,0.02061469666659832,7.0,0.021971918642520905,,
"can you, um, maybe make it the paperwork? easier to do and not take not be so time consuming. um, i have been taking care of my mother, and it's just with everything going on, everything is so overwhelming. if you could just, um, make it, um, easier to complete.",5,0.4696653187274933,6.0,0.5167620182037354,,,,,,,,,,,,
do you really want me to continue if i haven't done any of the research over the past several years?,0,0.013565503992140293,4.0,0.9543380737304688,,,,,,,,,,,,
do you want me to still fill it out? i still have it and i would participate.,0,0.9584658145904541,,,,,,,,,,,,,,
"god. i was in a job that i was gone 60 to 70 hours a week. um, for the last five years, i went out on medical disability because of worsening multiple sclerosis symptoms. um, in december of 19, i was sick with covid starting in april of 2000 and 20 and have continued to have some symptoms recur on a regular basis. nothing life threatening. um, just irritating. and i would definitely have the time. and i am willing to receive studies and take the time to fill those out now.",6,0.9931933879852295,,,,,,,,,,,,,,
"hey, baby.",0,0.042260389775037766,1.0,0.017415806651115417,3.0,0.014293658547103405,4.0,0.85774165391922,5.0,0.016545109450817108,6.0,0.020619599148631096,7.0,0.021977147087454796,,
hi. i'm not sure i have so many things in my life that take precedence. and filling out those questionnaires seems very time consuming and laborious. so i guess i don't that's my only answer.,4,0.5986941456794739,5.0,0.3819614350795746,,,,,,,,,,,,
"hi. i'm sorry. i had just forgotten to do them when i received them. i actually kept them. so that's my fault. um, an email or a text message actually would help me to remember to do that, because i do think it is very important.",3,0.3270603120326996,6.0,0.655722975730896,,,,,,,,,,,,
"hi. i've just been busy. reminder emails are probably the best way, um, or reminder calls or letters, but preferably electronic to just say, hey, please do it. please do it. that's what i need is just plain reminders.",0,0.39420539140701294,1.0,0.4121025800704956,7.0,0.1852819174528122,,,,,,,,,,
"hm. mostly it's too long. so each, um each packet was way too long, and i never had the time to be able to sit and complete complete it, do the family issues.",5,0.31162115931510925,6.0,0.5840865969657898,7.0,0.08967567980289459,,,,,,,,,,
hold on one minute. i'm gonna be right back. can you hold on? don't go anywhere. i'll be right back. okay? hello?,7,0.9747426509857178,,,,,,,,,,,,,,
"i i basically just for that. so send me a reminder. you know, a couple of weeks after i get the package and i'll make a point of doing it. really sorry. i wanted to be a active participant, and i will try to be.",0,0.8588364720344543,3.0,0.12707355618476868,,,,,,,,,,,,
"i i don't i don't know. other than i i guess i'd rather talk to somebody live who i can find out sort of what the study is, the amount of time it takes and what i'm supposed to be receiving and returning.",2,0.2647796869277954,3.0,0.7151172161102295,,,,,,,,,,,,
i i have my forms and i will fill them out.,0,0.8881962299346924,1.0,0.017411720007658005,3.0,0.01429030578583479,4.0,0.011829345487058163,5.0,0.01654122769832611,6.0,0.020614761859178543,7.0,0.021971989423036575,,
"i just as i said, i have an extreme dislike for doing questionnaire. i had to fill out reports and everything all my life, and i'm tired of it.",0,0.010674286633729935,1.0,0.9654895663261414,,,,,,,,,,,,
"i actually started the questionnaire or book of questions, and it honestly just took up too much time. i have a busy career, and then my home life involves taking care of two toddlers, so i don't have a lot of down time, um, ways to make it easier.",4,0.8285247683525085,6.0,0.15916825830936432,,,,,,,,,,,,
"i actually would like just another opportunity to stay, uh, engaged, i think when i got the the last one that i didn't fill out was in 2018, my mother was passing away, and i just didn't have the mental time and energy for that, so i'd like to have a chance.",0,0.1516694724559784,3.0,0.8370080590248108,,,,,,,,,,,,
"i already had cancer since i entered the study. um, just send me something new, and i will try to remember to be part of it.",0,0.5259785056114197,4.0,0.17360292375087738,7.0,0.28550073504447937,,,,,,,,,,
"i already told somebody this, like, several years ago, and, um, it was obviously ignored that time. so i don't imagine you're gonna jump out at this time. but if there was a, like, a form i could fill out, like, uh, weekly diary or something to fill out that would make it easier than trying to remember at the end of the year what i ate for the whole entire year. unbelievably difficult. but if you had, you know, if there was a an app that i could fill out every week, that would be reasonable, and i would do it. so that's what you need to do to get me to do this.",0,0.6791358590126038,3.0,0.1770424097776413,6.0,0.14006176590919495,,,,,,,,,,
"i am a researcher myself, a licensed psychologist. i have conducted my own research and the study is too detailed and too long for compliance. launch attitude, longitudinal e.",7,0.9747353196144104,,,,,,,,,,,,,,
"i am happy to stay involved. um, i will be sure to put things in next time. i did have cancer last year, so you might want to talk to me.",3,0.5461540222167969,4.0,0.4327848255634308,,,,,,,,,,,,
i am not in a research straighter and this is not sure number. now you have to contact her to get the information. i cannot give it because i do not have it. i do not know about your study. thank you.,0,0.6364333629608154,5.0,0.3453483581542969,,,,,,,,,,,,
"i am so sorry, but i just forgot to fill out. i remember i got them and i put them aside to do later. so maybe if you sent, like, a reminder text reminder email. and i'm sorry. i should remember on my own, but that's i'm sorry. that's it. i just forgot to do it. i set it aside and never filled it out.",1,0.9848766922950745,,,,,,,,,,,,,,
i am. i am sick. i cannot do too much.,0,0.029693763703107834,1.0,0.012236869893968105,3.0,0.010043155401945114,4.0,0.9000446796417236,5.0,0.011625092476606369,6.0,0.01448795199394226,7.0,0.015441804192960262,,
"i am. i fill out the surveys every time. i don't know why i'm getting this call. send it via email where it would be easier and quicker, i guess.",4,0.15072540938854218,7.0,0.8279975056648254,,,,,,,,,,,,
"i am. oh, in transition right now, uh, in my job. and it's been, uh a lot of life has happened since i started the program, and, uh, it has been time i've had to focus on what, um, is important to me right now. um, cancer research is very important. uh, my wife is a breast cancer survivor. i wanna help as much as i can. um, so i, uh no. i guess i just being reminded of it's important as it was is really enough for me. and i know that it's important. so, um, you know, i would reconsider being a part of the program. thank you.",1,0.3272817134857178,4.0,0.42864418029785156,5.0,0.23843008279800415,,,,,,,,,,
"i apologize for not being able to fill out the forms. it's time consuming, and i feel like it's one more thing i have to do in my day. i would love to help. i'm thinking maybe something online might be better or a telephone call where you ask me the questions online. uh, and i could be doing something else might help me more in my participation.",1,0.9886083006858826,,,,,,,,,,,,,,
"i apologize. i do want to stay in this study. some of the questions were taking longer to go back and research, you know, for some of the details that was asked. and i've just got behind with, um, health issues. and, you know, other things that i've been dealing with with my mother and, um, deaths in the family, and i just didn't get them done. so i apologize. and if i can still do those, i do have them. and, you know, i would, um, you know, like to catch up so that so that i could stay in the program.",5,0.9912978410720825,,,,,,,,,,,,,,
"i apologize. i know better. i'm a nurse and i made a commitment and i haven't followed through. i will promise to do that from now on. this reminders enough. mhm, mhm.",1,0.2745001018047333,5.0,0.3333311975002289,7.0,0.37340062856674194,,,,,,,,,,
"i believe i've been getting things sent to the wrong email, so i would be happy to participate if you would just send it to my mailing address that you have. thank you.",0,0.8300669193267822,1.0,0.15439631044864655,,,,,,,,,,,,
i believe it would be better if you would engage with me in a different way.,0,0.013567665591835976,1.0,0.9561262130737305,,,,,,,,,,,,
"i believe it's because my sister's. for some reason, i don't like to give out information. so i am prepared to start one now, since i'm home. so please send another survey. thank you.",0,0.6282561421394348,3.0,0.35673633217811584,,,,,,,,,,,,
"i believe the studies are being mailed to my house. i don't know if it could be sent via email or electronically. i tend to answer those faster. the the mail just kind of gets pushed aside, and then i just never get to it. uh, i know that's a bad excuse, and i'm sorry. um, you can give me a call. my other number you called me is the main line. now that everybody's working remotely, the best phone number to reach me is at work is my direct line, which is 7862438440 again, this is susan bunting. 786243 8440 thank you.",7,0.9932632446289062,,,,,,,,,,,,,,
"i can do it now. uh, i was tied up with my husband and he died, so now i have time.",0,0.01862994208931923,1.0,0.31173214316368103,4.0,0.6332376003265381,,,,,,,,,,
"i can't recall. surveys have been sent online. if that's possible, could i receive one online so that i could fill it out there rather than paper surveys?",0,0.4264470934867859,7.0,0.5587664842605591,,,,,,,,,,,,
"i can't remember why i never sent the surveys back. i'm sorry, i'll i'll try to locate them and send them back.",0,0.8524004817008972,4.0,0.12479192018508911,,,,,,,,,,,,
"i cannot be. i i cannot be rude. i don't want to come up. i i'm doing good things, so shit. ah. with what? hello?",3,0.2429644912481308,5.0,0.7289162874221802,,,,,,,,,,,,
"i cannot continue. i did not ever really start. there are too many pressing issues on my life, carrying for other people and running a business. not to mention a lot of other things. i do not have time for any extra curricular, anything. i'm so sorry.",2,0.29104599356651306,4.0,0.6942245364189148,,,,,,,,,,,,
i completed two out of the three studies. bye.,0,0.9507220983505249,,,,,,,,,,,,,,
