"","Response","Topic","Perc"
"1","as far as i know, i have completed the surveys. um, i did get a email address change about a year ago, and this is my new email address. it is jackson, my last name, jackson dot family, the number five at a t t dot net again. 30 jackson dot family and the number five.",1,0.997256577014923
"2","at first it was because i was lazy, period. they sat on my countertop unopened because i knew that it would take me a little while to finish them. um, but about two weeks ago, i completed the surveys and drop them in the mail. so i know that they probably didn't meet your survey deadlines, but they should be on the way to you now.",2,0.997519493103027
"3","hold on. hold on one second. i just hold on. stay with me. sir, everything is good. so, um, this is it's the last thing. just connect all the four wire. who? yellow, purple and green. so i need you to make sure. sorry. hold on a second. um, almost done. okay. good question. okay. amazon because this is a really important. this is where we get everything. okay. panels need to be perfectly aligned, and you need to trim off the edges here, but do not cut this purple. why? why? because this is kind of attached to generate taxes. okay? and don't mess with everything else on the side and make sure he's in the baby. sees me like a baby. i totally understand. okay, i'm done. okay, that's it. so no personal buyer. perfect. god. copy that. thank you, sir. every sorry, i'm bad. everybody is trying to pretend the boss, you know, like when somebody you give forward to another stupid employee, he's acting like he's a boss. like hate those seriously, but anyways, um ah, i'm sorry. what? what? what did you say? so what do you want for me? like directly from me? so are you selling me these? or like? should i purchase these? because, like, look, as of right now, i don't have a lot of money. that's my first months in america, right? so i have to make a living. so that's where i work. freaking stupid construction and trying to i don't know, pretending that i know what i'm doing. hold on. hold on one second. did he said blue or purple? yeah. i thought he said blue. so yeah. um, anyways, i have one minute. please finish with your beach. whatever you want to sell whatever you want. you want from me, just let me know. okay. go. no, no, no. i'm listening. if you find with that, i'm fine with it too, so okay, hold on. did you hear me? cause i got a little oh, my god. shit, shit, shit, shit, shit. i think i'm in trouble. shit! i knew he said purple, and i got the blue one. i think i like shit. oh, food. i think i think i i oh, my god. i made a mistake. whole fear all these periods are like floating away. holy shit. hold on, hold on. um, hold on, fats. rig mr part three",0,0.999584972858429
"4","i believe i was contacted via email to complete the surveys. i'm not sure, but i think i was, um but i don't know, a pin number or a log in. so that's if if that's how the surveys are directed towards me, um, i i don't have the information to complete them. and when i called for information, i never was able to speak to a person, so i just gave up.",2,0.997614324092865
"5","i couldn't complete them accurately because i had no way of knowing how much i'd eat various things. oh, very six month time window. if i've been asked for things under a shorter time, such as the previous two weeks, i could have completed accurately the way the questions where, where it was impossible to do so correctly.",2,0.997702479362488
"6","i didn't think that my answers were honest because some of the questions were very specific. ah, example. how much time did i spend in the sun during my twenties or my thirties? and i honestly didn't think that i could give you accurate information and i was making it up, and i don't think it was truthful. so that's why i decided my contribution would not be accurate for the study.",2,0.997702360153198
"7","i don't have glasses. i need trifocals. i don't have the money. i've been taken by people from cars that i've bought and therefore i i have no money to get these glasses by having to sit there and read a survey and check things off. my eye hand coordination is off because i do not have both eyes with the same vision when i is totally different and getting worse. and there's nothing i can do at this time to be able to go and get the eyes checked to be able to purchase trifocals. so i have problems with having to do an abundance of paperwork.",2,0.998407185077667
"8","i find that that you repeatedly asked me questions that i can no longer remember. you're going to ask me what my weight losses were in the last 10 years. i'm not going to remember that stuff. um, yeah. you ask too many questions that require too much history if you want something. but then last year i can do that before that. forget it.",2,0.99778425693512
"9","i got hung up initially with a lot of the his history and, you know, historical questions that i didn't know the answer to. and i didn't. it didn't seem like there was an option to not answer them. so then, like i said, i got behind from the beginning. and then, um, i just never it was then i just kind of i was frustrated and never, never finish them. and i feel terrible, but it was it just it was started taking too much time to try to figure out what some of the answers were, um, things i didn't remember from years ago. so, um and then i just never continued once i got stuck. so that's it.",2,0.998587906360626
"10","i got the second survey, and i filled it out almost completely. and there was one question that i wasn't sure how to answer. it was about time of exposure to the sun, i think. and i was trying to really think about, like, all all of the time that it added up. and i eventually, uh, put it aside and didn't get back to it. and then i got the second, uh, copy of it. and i didn't fill that up because i already filled out the first one, and, uh, i i just put it on the back burner and then get back to it. uh, eventually, i moved and threw away the survey that i completed. and then i got the third survey at some point. and because i haven't filled out the second survey, i didn't",2,0.998827219009399
