"","Response","Topic","Perc"
"1","45. um, if the surveys were a lot shorter and they didn't take as much time to fill out and i don't know and it just seems like it's time consuming to fill out, um, i don't know, have more incentive to fill out, and i don't know why. i don't know if it is actually helping out in the research, so i don't i don't see any results from filling out the survey.",5,0.988117635250092
"2","actually, i think you've made it easy. i just haven't sat down and taken the time. it looks kinda long and i saved it. and now i've i've saved it too long, so i just need to get back to it.",2,0.979062020778656
"3","can you send it to me on, uh, online so i can fill it out online? i don't even i don't remember being part of the study. i don't know what this is. i i mean, i could imagine joining up to a study, but i don't remember anything about it. um, that's the main. that's the main trouble.",7,0.985380828380585
"4","god. i was in a job that i was gone 60 to 70 hours a week. um, for the last five years, i went out on medical disability because of worsening multiple sclerosis symptoms. um, in december of 19, i was sick with covid starting in april of 2000 and 20 and have continued to have some symptoms recur on a regular basis. nothing life threatening. um, just irritating. and i would definitely have the time. and i am willing to receive studies and take the time to fill those out now.",6,0.993193387985229
"5","hold on one minute. i'm gonna be right back. can you hold on? don't go anywhere. i'll be right back. okay? hello?",7,0.974742650985718
"6","i am a researcher myself, a licensed psychologist. i have conducted my own research and the study is too detailed and too long for compliance. launch attitude, longitudinal e.",7,0.97473531961441
"7","i am so sorry, but i just forgot to fill out. i remember i got them and i put them aside to do later. so maybe if you sent, like, a reminder text reminder email. and i'm sorry. i should remember on my own, but that's i'm sorry. that's it. i just forgot to do it. i set it aside and never filled it out.",1,0.984876692295074
"8","i apologize for not being able to fill out the forms. it's time consuming, and i feel like it's one more thing i have to do in my day. i would love to help. i'm thinking maybe something online might be better or a telephone call where you ask me the questions online. uh, and i could be doing something else might help me more in my participation.",1,0.988608300685883
"9","i apologize. i do want to stay in this study. some of the questions were taking longer to go back and research, you know, for some of the details that was asked. and i've just got behind with, um, health issues. and, you know, other things that i've been dealing with with my mother and, um, deaths in the family, and i just didn't get them done. so i apologize. and if i can still do those, i do have them. and, you know, i would, um, you know, like to catch up so that so that i could stay in the program.",5,0.991297841072083
"10","i believe the studies are being mailed to my house. i don't know if it could be sent via email or electronically. i tend to answer those faster. the the mail just kind of gets pushed aside, and then i just never get to it. uh, i know that's a bad excuse, and i'm sorry. um, you can give me a call. my other number you called me is the main line. now that everybody's working remotely, the best phone number to reach me is at work is my direct line, which is 7862438440 again, this is susan bunting. 786243 8440 thank you.",7,0.993263244628906
"11","i don't know. i have no clue. i don't know why you so like i don't know what to tell you. um, trying to get me when i'm around. not like all basket nuts. doubt are high, so mm, that's about it.",5,0.980128526687622
"12","i don't need to be encouraged to stay involved. i just never got the surveys. i've moved several times since i enrolled.",4,0.970405697822571
"13","i feel that i have been involved. i returned everything every time something was mailed to me. so i'm not sure why. saying that you have not received any of any additional information from me.",0,0.980220377445221
"14","i forgot to fill out the second one and then i wasn't sure if i could still participate after not filling out the second one. if i can still participate, please send me a new form.",0,0.9847771525383
